name,country,mapgi,category,temp
김치찌개,한식,매운 것,밥,뜨거운 것
된장찌개,한식,안매운 것,밥,뜨거운 것
스시,일식,안매운 것,밥,차가운 것
불고기,한식,안매운 것,고기,뜨거운 것
유산슬,중식,,,뜨거운 것
비빔밥,한식,매운 것,밥,뜨거운 것
잡채,한식,안매운 것,밥,뜨거운 것
삼겹살,한식,안매운 것,고기,뜨거운 것
갈비,한식,안매운 것,고기,뜨거운 것
떡볶이,한식,매운 것,떡,뜨거운 것
경양식 돈까스,한식,안매운 것,밥,뜨거운 것
전골,한식,안매운 것,밥,뜨거운 것
부대찌개,한식,매운 것,밥,뜨거운 것
닭도리탕,한식,매운 것,밥,뜨거운 것
김밥,한식,안매운 것,밥,뜨거운 것
짜장면,중식,안매운 것,면,뜨거운 것
짬뽕,중식,매운 것,면,뜨거운 것
탕수육,중식,안매운 것,고기,뜨거운 것
팔보채,중식,,,뜨거운 것
양장피,중식,,,뜨거운 것
깐풍기,중식,매운 것,고기,뜨거운 것
볶음밥,중식,안매운 것,밥,뜨거운 것
꿔바로우,중식,매운 것,,뜨거운 것
마라탕,중식,매운 것,밥,뜨거운 것
양꼬치,중식,안매운 것,고기,뜨거운 것
훠궈,중식,매운 것,,뜨거운 것
마파두부,중식,매운 것,밥,뜨거운 것
초밥,일식,안매운 것,밥,차가운 것
텐동,일식,안매운 것,밥,뜨거운 것
나베,일식,매운 것,밥,뜨거운 것
라멘,일식,매운 것,면,뜨거운 것
일본식 카레,일식,매운 것,밥,뜨거운 것
돈카츠,일식,안매운 것,밥,뜨거운 것
소바,일식,안매운 것,면,뜨거운 것
우동,일식,안매운 것,면,뜨거운 것
가라아게,일식,안매운 것,고기,뜨거운 것
샤브샤브,일식,안매운 것,고기,뜨거운 것
잔치국수,한식,안매운 것,면,뜨거운 것
마제소바,일식,매운 것,면,뜨거운 것 
떡국,한식,안매운 것,떡,뜨거운 것
라면,한식,매운 것,면,뜨거운 것
냉면,한식,안매운 것,면,차가운 것
칼국수,한식,안매운 것,면,뜨거운 것
오므라이스,양식,안매운 것,밥,뜨거운 것
스파게티,양식,안매운 것,면,뜨거운 것
샐러드,양식,안매운 것,,차가운 것
도리아,양식,매운 것,밥,뜨거운 것
피자,양식,안매운 것,빵,뜨거운 것
필라프,양식,안매운 것,밥,뜨거운 것
치킨,양식,안매운 것,고기,뜨거운 것
스테이크,양식,안매운 것,고기,뜨거운 것
빵,양식,안매운 것,빵,
햄버거,양식,안매운 것,빵,뜨거운 것
비빔국수,한식,매운 것,면,차가운 것
국밥,한식,안매운 것,밥,뜨거운 것
김치찜,한식,매운 것,밥,뜨거운 것
감자탕,한식,매운 것,밥,뜨거운 것
카츠동,일식,안매운 것,밥,뜨거운 것
타코야끼,일식,안매운 것,빵,뜨거운 것
